channelN,session,sessionName,channelNames,cortexFlag,site,sitelabel,laminarFlag,depth,monkeyFlag,monkeyName,fixation_power_canceled,fixation_power_nostop,stopSignal_power_canceled,stopSignal_power_nostop,ssrt_power_canceled,ssrt_power_nostop,laminar,upper_lower
16,21,xensef20120423b-final,AD32,1,2,p2,1,11,1,Xena,0.131396576562917,0.0451407595208608,0.379795358984265,0.488094914969753,0.179987381482067,0.14439753964858,L5,Lower
17,21,xensef20120423b-final,AD33,1,2,p2,1,12,1,Xena,0.0923843904880271,0.0651561542440357,0.577542329345469,0.0504653245862134,0.0592418640992292,0.142812559137079,L5,Lower
18,21,xensef20120423b-final,AD34,1,2,p2,1,13,1,Xena,0.0539795460961132,0.0978865178996879,0.499505925672742,0.30798327342723,0.0913263841080426,0.0942098094951754,L6,Lower
19,21,xensef20120423b-final,AD35,1,2,p2,1,14,1,Xena,0.0860916889470685,0.224960478319434,0.205926111349627,0.0792692563562076,0.154126773706547,0.146454164990656,L6,Lower
20,21,xensef20120423b-final,AD36,1,2,p2,1,15,1,Xena,0.0578492394173505,0.114658308839954,0.204074200822638,0.0789829371809773,0.130684337342293,0.0881648633612353,L6,Lower
21,21,xensef20120423b-final,AD37,1,2,p2,1,16,1,Xena,0.0103511598784403,0.2360067750868,0.133794112305714,0.0403935406337293,0.07861765047877,0.0553268824965113,L6,Lower
22,21,xensef20120423b-final,AD38,1,2,p2,1,17,1,Xena,0.0849447504652768,0.110725580014628,0.164090555180072,0.0489576075757185,0.158912989490777,0.0595066848965794,L6,Lower
8,22,xensef20120424c-final,AD24,1,2,p2,1,1,1,Xena,0.0214159987574375,0.0718197974811361,0.0860998486954657,0.0432727150204428,0.119532364920664,0.0387187532005109,L2,Upper
9,22,xensef20120424c-final,AD25,1,2,p2,1,2,1,Xena,0.0184635362385054,0.0889685546425641,0.0409355601965927,0.0349829018468681,0.203451434842416,0.0556344261191462,L2,Upper
10,22,xensef20120424c-final,AD26,1,2,p2,1,3,1,Xena,0.051971825753743,0.106138740830879,0.178200444502192,0.0948654663607013,0.321505528544253,0.0870896482333744,L2,Upper
11,22,xensef20120424c-final,AD27,1,2,p2,1,4,1,Xena,0.14901438815518,0.186882427291135,0.138492586957867,0.204725988788609,0.418715334575066,0.142332035952001,L2,Upper
12,22,xensef20120424c-final,AD28,1,2,p2,1,5,1,Xena,0.104436576015349,0.227621742958941,0.343992002051675,0.271575704336329,0.22051487061564,0.21727356110513,L3,Upper
13,22,xensef20120424c-final,AD29,1,2,p2,1,6,1,Xena,0.169861158121784,0.278879431324887,0.125474039779052,0.470989125702756,0.179909850860924,0.199767382725956,L3,Upper
14,22,xensef20120424c-final,AD30,1,2,p2,1,7,1,Xena,0.129356836472086,0.303116724380905,0.158557092937251,0.634490898807277,0.264197399761802,0.255238107168385,L3,Upper
15,22,xensef20120424c-final,AD31,1,2,p2,1,8,1,Xena,0.0598083347166272,0.557071710514525,0.15580150805177,0.986787454036646,0.578405527558494,0.38438509171291,L3,Upper
16,22,xensef20120424c-final,AD32,1,2,p2,1,9,1,Xena,0.193511027468375,0.611766761610716,0.296431543762922,0.688627852302457,0.197460618577925,0.311020126636489,L5,Lower
17,22,xensef20120424c-final,AD33,1,2,p2,1,10,1,Xena,0.190490420838581,0.447844102123755,0.242209829683928,0.494079138635879,0.34231571638297,0.418903494809359,L5,Lower
18,22,xensef20120424c-final,AD34,1,2,p2,1,11,1,Xena,0.133733466710906,0.204362886515468,0.296573759609913,0.115987640284088,0.302251090676097,0.301744334854293,L5,Lower
19,22,xensef20120424c-final,AD35,1,2,p2,1,12,1,Xena,0.0800622927052908,0.111269542189445,0.583892416383148,0.0936951987325423,0.235174912611534,0.292710871450134,L5,Lower
20,22,xensef20120424c-final,AD36,1,2,p2,1,13,1,Xena,0.0476177235429219,0.107698695626744,1.03322656741431,0.100341453474083,0.174912378343725,0.360215272566548,L6,Lower
21,22,xensef20120424c-final,AD37,1,2,p2,1,14,1,Xena,0.040052440915302,0.130602789913278,0.934123319897446,0.077480874607328,0.0395806658746502,0.465965949173742,L6,Lower
